Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20220075,Edward Planckaert,Alpecin-Fenix,Unclassed,4,0.5%,31,0,0,0,0,5,0,0,26,31
riderprofile.php?rider=20220085,Guillaume Van Keirsbulck,Alpecin-Fenix,Unclassed,4,0.7%,28,0,0,0,0,2,0,0,26,28
riderprofile.php?rider=20220101,Dmitriy Gruzdev,Astana Qazaqstan Team,Unclassed,4,0.3%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220112,Alexandr Riabushenko,Astana Qazaqstan Team,Unclassed,4,0.2%,20,0,0,0,0,0,0,20,0,20
riderprofile.php?rider=20220117,Andrey Zeits,Astana Qazaqstan Team,Unclassed,4,1.3%,12,12,0,0,0,0,0,0,0,12
riderprofile.php?rider=20220140,Cyril Barthe,B&B Hotels - KTM,Unclassed,4,1.7%,52,0,0,0,0,12,0,40,0,52
riderprofile.php?rider=20220147,Alexis Gougeard,B&B Hotels - KTM,Unclassed,4,1.6%,55,0,0,0,0,15,0,40,0,55
riderprofile.php?rider=20220154,Jérémy Lecroq,B&B Hotels - KTM,Unclassed,4,0.7%,243,240,0,0,0,3,0,0,0,243
riderprofile.php?rider=20220155,Cyril Lemoine,B&B Hotels - KTM,Unclassed,4,0.6%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220161,Sebastian Schönberger,B&B Hotels - KTM,Unclassed,4,2.2%,36,0,0,0,0,8,8,20,0,36
riderprofile.php?rider=20220170,Kamil Gradek,Bahrain - Victorious,Unclassed,4,0.5%,26,0,0,0,0,0,0,20,6,26
riderprofile.php?rider=20220339,Anthony Perez,Cofidis,Unclassed,4,2.9%,101,0,0,0,0,25,36,40,0,101
riderprofile.php?rider=20220344,Benjamin Thomas,Cofidis,Unclassed,4,11.9%,277,250,0,0,0,7,0,20,0,277
riderprofile.php?rider=20220383,Owain Doull,EF Education-EasyPost,Unclassed,4,2.3%,24,0,0,0,0,0,0,0,24,24
riderprofile.php?rider=20220396,Jonas Rutsch,EF Education-EasyPost,Unclassed,4,1.8%,45,0,0,0,0,1,0,20,24,45
riderprofile.php?rider=20220527,Antoine Duchesne,Groupama - FDJ,Unclassed,4,0.6%,78,0,0,0,0,0,0,0,78,78
riderprofile.php?rider=20220534,Olivier Le Gac,Groupama - FDJ,Unclassed,4,1.2%,98,0,0,0,0,0,0,20,78,98
riderprofile.php?rider=20220588,Luke Rowe,INEOS Grenadiers,Unclassed,4,6.6%,226,0,0,0,0,0,0,0,226,226
riderprofile.php?rider=20220607,Kobe Goossens,Intermarché - Wanty - Gobert Matériaux,Unclassed,4,1.6%,78,0,0,0,0,20,8,40,10,78
riderprofile.php?rider=20220619,Adrien Petit,Intermarché - Wanty - Gobert Matériaux,Unclassed,4,1.8%,13,0,0,0,0,3,0,0,10,13
riderprofile.php?rider=20220650,Krists Neilands,Israel - Premier Tech,Unclassed,4,0.7%,94,16,0,0,0,16,0,40,22,94
riderprofile.php?rider=20220651,Guy Niv,Israel - Premier Tech,Unclassed,4,0.0%,0,0,0,0,0,3,0,20,22,0
riderprofile.php?rider=20220688,Nathan Van Hooydonck,Jumbo-Visma,Unclassed,4,10.7%,290,0,0,0,0,8,0,20,262,290
riderprofile.php?rider=20220721,Frederik Frison,Lotto Soudal,Unclassed,4,0.4%,36,0,0,0,0,16,0,20,0,36
riderprofile.php?rider=20220735,Florian Vermeersch,Lotto Soudal,Unclassed,4,7.5%,60,50,9,0,0,1,0,0,0,60
riderprofile.php?rider=20220759,Imanol Erviti,Movistar Team,Unclassed,4,1.9%,30,0,0,0,0,8,0,20,2,30
riderprofile.php?rider=20220770,Gregor Mühlberger,Movistar Team,Unclassed,4,1.8%,89,42,10,0,0,5,0,20,12,89
riderprofile.php?rider=20220781,Albert Torres,Movistar Team,Unclassed,4,0.9%,12,0,0,0,0,0,0,0,12,12
riderprofile.php?rider=20220896,Maxime Bouet,Team Arkéa Samsic,Unclassed,4,2.2%,30,0,0,0,0,6,0,20,4,30
riderprofile.php?rider=20220913,Łukasz Owsian,Team Arkéa Samsic,Unclassed,4,0.2%,24,0,0,0,0,0,0,20,4,24
riderprofile.php?rider=20220925,Jack Bauer,Team BikeExchange - Jayco,Unclassed,4,6.3%,64,0,0,0,0,12,0,20,32,64
riderprofile.php?rider=20220937,Amund Grøndahl Jansen,Team BikeExchange - Jayco,Unclassed,4,0.4%,32,0,0,0,0,0,0,0,32,32
riderprofile.php?rider=20220979,Kevin Vermaerke,Team DSM,Unclassed,4,3.3%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20221011,Maciej Bodnar,TotalEnergies,Unclassed,4,2.8%,4,0,0,0,0,0,0,0,4,4
riderprofile.php?rider=20221025,Daniel Oss,TotalEnergies,Unclassed,4,3.6%,4,0,0,0,0,0,0,0,4,4
riderprofile.php?rider=20221045,Tony Gallopin,Trek - Segafredo,Unclassed,4,7.7%,48,0,0,0,0,8,0,20,20,48
riderprofile.php?rider=20221051,Alex Kirsch,Trek - Segafredo,Unclassed,4,1.5%,10,0,0,0,0,0,0,0,10,10
riderprofile.php?rider=20221083,Vegard Stake Laengen,UAE Team Emirates,Unclassed,4,3.5%,38,0,0,0,0,0,0,0,38,38
